host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
phone-android,tiny,1415,look,accepted,observed,0,0.6510,0.4772,0.0784,3.1316,0.1280,4.4661
phone-android,tiny,1416,talk,rejected,not_eligible,0,0.7341,0.5261,0.0829,3.6767,0.1549,5.1748
phone-android,tiny,1417,move,accepted,moved,1,0.8520,0.5725,0.1826,4.5334,0.1807,6.3212
phone-android,tiny,1418,look,accepted,observed,0,0.8443,0.5227,0.0795,4.4879,0.1774,6.1119
phone-android,tiny,1419,look,accepted,observed,0,0.9489,0.7303,0.0919,4.8253,0.1584,6.7547
phone-android,tiny,1420,look,accepted,observed,0,0.9480,0.6566,0.0899,4.0011,0.1468,5.8424
phone-android,tiny,1421,move,accepted,moved,1,0.8087,0.6029,0.1830,4.8405,0.1572,6.5922
phone-android,tiny,1422,move,accepted,moved,1,0.7790,0.5817,0.1716,4.5347,0.1443,6.2112
phone-android,tiny,1423,move,rejected,exit_unavailable,0,0.5648,0.5129,0.0844,3.2414,0.1164,4.5198
phone-android,tiny,1424,move,accepted,moved,1,0.5528,0.5345,0.2298,4.0980,0.1301,5.5451
phone-android,tiny,1425,look,accepted,observed,0,0.5616,0.4819,0.0800,3.2719,0.1126,4.5080
phone-android,tiny,1426,move,accepted,moved,1,0.5581,0.5516,0.1909,4.1793,0.1348,5.6147
phone-android,tiny,1427,move,accepted,moved,1,0.6143,0.5271,0.1700,23.0835,0.2210,24.6159
phone-android,tiny,1428,take,rejected,not_present,0,1.1041,0.6072,0.0841,3.9813,0.1356,5.9123
phone-android,tiny,1429,look,accepted,observed,0,0.7552,0.5396,0.0813,4.0162,0.1207,5.5130
phone-android,tiny,1430,look,accepted,observed,0,0.6679,0.4873,0.0807,3.3693,0.1252,4.7304
phone-android,tiny,1431,talk,rejected,not_eligible,0,0.6658,0.4907,0.1194,3.2449,0.2013,4.7220
phone-android,tiny,1432,look,accepted,observed,0,0.6208,0.5338,0.0797,4.3236,0.1419,5.6998
phone-android,tiny,1433,move,rejected,exit_unavailable,0,0.8363,0.6820,0.1104,4.4499,0.1535,6.2322
phone-android,tiny,1434,move,accepted,moved,1,0.7195,0.5982,0.1909,4.1634,0.1572,5.8292
phone-android,tiny,1435,move,accepted,moved,1,0.5813,0.5679,0.1946,4.8727,0.1820,6.3984
phone-android,tiny,1436,move,accepted,moved,1,0.7232,0.5899,0.1941,4.9197,0.1831,6.6101
phone-android,tiny,1437,look,accepted,observed,0,0.7369,0.5388,0.0798,3.8191,0.1306,5.3051
phone-android,tiny,1438,move,accepted,moved,1,0.7251,0.5458,0.1705,4.2218,0.1521,5.8153
phone-android,tiny,1439,move,rejected,exit_unavailable,0,0.6318,0.5468,0.0843,3.2627,0.1277,4.6532
phone-android,tiny,1440,move,accepted,moved,1,0.6178,0.5161,0.1674,4.0699,0.1500,5.5214
phone-android,tiny,1441,move,accepted,moved,1,0.5915,0.5740,0.1720,4.0396,0.1468,5.5239
phone-android,tiny,1442,look,accepted,observed,0,0.5642,0.4807,0.0793,3.4519,0.1273,4.7034
phone-android,tiny,1443,wait,rejected,invalid_time,0,0.6499,0.5043,0.0808,3.3772,0.1197,4.7320
phone-android,tiny,1444,move,rejected,exit_unavailable,0,0.5486,0.4856,0.0807,3.2769,0.1451,4.5369
phone-android,tiny,1445,talk,rejected,not_eligible,0,0.7373,0.5540,0.0832,3.5781,0.1312,5.0839
phone-android,tiny,1446,look,accepted,observed,0,0.6554,0.4664,0.0793,3.6126,0.1236,4.9373
phone-android,tiny,1447,look,accepted,observed,0,0.6359,0.4810,0.1174,3.2217,0.1801,4.6361
phone-android,tiny,1448,look,accepted,observed,0,0.6054,0.4781,0.0785,3.3076,0.1398,4.6095
phone-android,tiny,1449,choose,rejected,invalid_choice,0,0.7521,0.5783,0.0799,3.4603,0.1445,5.0152
phone-android,tiny,1450,talk,rejected,not_eligible,0,0.7812,0.5422,0.0846,3.3273,0.1243,4.8596
phone-android,tiny,1451,activate,rejected,not_eligible,0,0.5766,0.4892,0.0796,3.0484,0.1166,4.3104
phone-android,tiny,1452,look,accepted,observed,0,0.5558,0.5341,0.0812,3.1781,0.1061,4.4554
phone-android,tiny,1453,look,accepted,observed,0,0.6142,0.5057,0.0786,3.8774,0.1316,5.2075
phone-android,tiny,1454,move,accepted,moved,1,0.6965,0.5877,0.1725,4.6956,0.1612,6.3135
phone-android,tiny,1455,wait,rejected,invalid_time,0,0.6207,0.5044,0.0838,3.8165,0.1142,5.1396
phone-android,tiny,1456,drop,rejected,integrity_conflict,0,1.2274,0.4126,0.0015,0.0004,0.0634,1.7052
phone-android,tiny,1457,move,accepted,moved,1,0.4923,0.4193,0.1648,7.4723,0.1844,8.7331
phone-android,tiny,1458,talk,rejected,not_eligible,0,0.7494,0.5037,0.0842,3.6704,0.1476,5.1553
phone-android,tiny,1459,look,accepted,observed,0,0.8239,0.5085,0.0794,3.5956,0.1356,5.1431
phone-android,tiny,1460,wait,rejected,invalid_time,0,0.7445,0.5361,0.0842,3.3724,0.1303,4.8675
phone-android,tiny,1461,move,rejected,exit_unavailable,0,0.6023,0.5309,0.0848,3.2803,0.1184,4.6168
phone-android,tiny,1462,take,replayed,not_present,0,0.9115,0.3878,0.0021,0.0008,0.0590,1.3611
phone-android,tiny,1463,take,rejected,not_present,0,0.4240,0.4039,0.0789,3.3518,0.1302,4.3888
phone-android,tiny,1464,move,accepted,moved,1,0.6678,0.5221,0.1697,3.9767,0.1464,5.4827
phone-android,tiny,1465,wait,rejected,invalid_time,0,0.5383,0.5044,0.0857,3.5464,0.1545,4.8293
phone-android,tiny,1466,move,accepted,moved,1,0.6108,0.5106,0.1685,3.9837,0.1542,5.4278
phone-android,tiny,1467,move,accepted,moved,1,0.6129,0.5644,0.1785,4.2695,0.1473,5.7726
phone-android,tiny,1468,choose,rejected,invalid_choice,0,0.5437,0.5329,0.0801,3.2498,0.1180,4.5246
phone-android,tiny,1469,talk,rejected,not_owned,0,0.5646,0.5449,0.0819,3.3181,0.1176,4.6272
phone-android,tiny,1470,activate,rejected,not_eligible,0,0.6110,0.4782,0.0804,3.2368,0.1182,4.5245
phone-android,tiny,1471,take,accepted,taken,1,0.5854,0.4829,0.1676,4.2057,0.1502,5.5917
phone-android,tiny,1472,look,accepted,observed,0,0.5892,0.4834,0.0809,3.6042,0.1183,4.8761
phone-android,tiny,1473,look,accepted,observed,0,0.5596,0.5279,0.0911,3.7955,0.1402,5.1142
phone-android,tiny,1474,look,accepted,observed,0,0.7539,0.5138,0.0791,3.4605,0.1258,4.9331
phone-android,tiny,1475,activate,rejected,not_eligible,0,0.6812,0.5598,0.0821,3.3198,0.1146,4.7576
