host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
m1-server,tiny,1400,take,rejected,not_present,0,0.0098,0.0038,0.0013,0.0538,0.0020,0.0708
m1-server,tiny,1401,take,rejected,not_present,0,0.0096,0.0037,0.0013,0.0482,0.0021,0.0649
m1-server,tiny,1402,wait,rejected,invalid_time,0,0.0095,0.0040,0.0012,0.0520,0.0018,0.0684
m1-server,tiny,1403,look,accepted,observed,0,0.0093,0.0033,0.0012,0.0550,0.0021,0.0709
m1-server,tiny,1404,look,accepted,observed,0,0.0103,0.0036,0.0013,0.0581,0.0018,0.0750
m1-server,tiny,1405,look,accepted,observed,0,0.0093,0.0033,0.0012,0.0438,0.0022,0.0598
m1-server,tiny,1406,look,accepted,observed,0,0.0098,0.0036,0.0013,0.0565,0.0022,0.0733
m1-server,tiny,1407,look,accepted,observed,0,0.0095,0.0036,0.0012,0.0507,0.0022,0.0673
m1-server,tiny,1408,wait,rejected,invalid_time,0,0.0099,0.0039,0.0012,0.0544,0.0018,0.0712
m1-server,tiny,1409,move,accepted,moved,1,0.0093,0.0042,0.0036,0.0645,0.0027,0.0843
m1-server,tiny,1410,move,accepted,moved,1,0.0097,0.0043,0.0034,0.0680,0.0021,0.0875
m1-server,tiny,1411,wait,rejected,invalid_time,0,0.0088,0.0035,0.0013,0.0500,0.0017,0.0654
m1-server,tiny,1412,move,accepted,moved,1,0.0087,0.0038,0.0032,0.0677,0.0020,0.0855
m1-server,tiny,1413,look,accepted,observed,0,0.0086,0.0031,0.0012,0.0531,0.0017,0.0677
m1-server,tiny,1414,wait,rejected,invalid_time,0,0.0087,0.0034,0.0013,0.0468,0.0017,0.0619
m1-server,tiny,1415,look,accepted,observed,0,0.0086,0.0031,0.0012,0.0497,0.0017,0.0643
m1-server,tiny,1416,talk,rejected,not_eligible,0,0.0087,0.0034,0.0013,0.0423,0.0023,0.0580
m1-server,tiny,1417,move,accepted,moved,1,0.0098,0.0165,0.0035,0.0687,0.0024,0.1007
m1-server,tiny,1418,look,accepted,observed,0,0.0096,0.0035,0.0012,0.0486,0.0016,0.0645
m1-server,tiny,1419,look,accepted,observed,0,0.0103,0.0031,0.0012,0.0589,0.0017,0.0751
m1-server,tiny,1420,look,accepted,observed,0,0.0094,0.0032,0.0012,0.0754,0.0022,0.0913
m1-server,tiny,1421,move,accepted,moved,1,0.0100,0.0044,0.0035,0.0656,0.0022,0.0856
m1-server,tiny,1422,move,accepted,moved,1,0.0093,0.0038,0.0034,0.0652,0.0022,0.0838
m1-server,tiny,1423,move,rejected,exit_unavailable,0,0.0089,0.0035,0.0013,0.0500,0.0019,0.0655
m1-server,tiny,1424,move,accepted,moved,1,0.0091,0.0037,0.0034,0.0648,0.0024,0.0834
m1-server,tiny,1425,look,accepted,observed,0,0.0094,0.0035,0.0012,0.0493,0.0018,0.0651
m1-server,tiny,1426,move,accepted,moved,1,0.0094,0.0040,0.0034,0.0613,0.0023,0.0802
m1-server,tiny,1427,move,accepted,moved,1,0.0092,0.0040,0.0034,0.0601,0.0021,0.0788
m1-server,tiny,1428,take,rejected,not_present,0,0.0092,0.0034,0.0013,0.0480,0.0018,0.0636
m1-server,tiny,1429,look,accepted,observed,0,0.0104,0.0032,0.0012,0.0538,0.0017,0.0702
m1-server,tiny,1430,look,accepted,observed,0,0.0093,0.0033,0.0012,0.0474,0.0023,0.0635
m1-server,tiny,1431,talk,rejected,not_eligible,0,0.0098,0.0040,0.0013,0.0551,0.0018,0.0720
m1-server,tiny,1432,look,accepted,observed,0,0.0093,0.0034,0.0013,0.0438,0.0018,0.0595
m1-server,tiny,1433,move,rejected,exit_unavailable,0,0.0092,0.0037,0.0013,0.0518,0.0018,0.0678
